index,middle,ring,pinky
633,712,767,827
632,712,768,827
633,712,766,827
633,711,767,827
632,711,768,827
633,711,768,827
632,712,767,827
633,711,768,827
632,711,768,827
631,711,771,825
630,711,770,825
634,712,765,828
633,711,769,825
631,711,769,825
631,713,767,827
633,713,765,829
633,711,767,827
631,711,770,825
630,712,768,825
631,713,765,829
632,713,767,826
632,714,766,828
632,714,765,828
631,712,770,825
631,713,768,826
632,713,768,827
631,713,767,827
632,713,767,827
632,713,767,827
630,713,767,827
631,714,767,827
631,714,767,827
631,714,767,827
631,714,767,827
630,714,767,827
630,714,768,827
630,714,768,826
631,714,768,827
630,714,767,828
630,715,767,828
629,715,766,828
630,714,768,826
627,714,769,826
627,716,766,827
630,717,763,830
630,714,767,826
629,713,770,825
627,713,771,824
627,715,767,828
629,718,761,826
626,717,763,831
629,718,764,830
629,717,762,832
631,716,764,831
630,714,769,825
628,713,770,825
626,712,772,823
629,717,761,831
628,714,767,827
628,714,767,827
628,714,767,827
628,715,768,827
,,,,
694,725,763,840
694,726,760,842
696,727,759,842
696,725,766,838
692,723,770,834
692,726,770,834
695,729,759,844
695,728,759,842
692,724,770,835
693,726,765,839
693,726,765,839
693,726,765,839
693,725,764,839
694,726,764,838
693,726,763,839
694,726,765,839
693,726,764,839
693,726,765,839
694,726,765,838
693,726,765,839
693,726,764,839
693,726,765,839
693,727,765,838
694,727,764,839
693,726,765,838
693,726,766,838
692,727,765,839
692,726,763,839
693,727,765,839
692,726,765,838
693,726,763,839
692,727,764,839
693,728,765,838
692,727,765,838
692,727,765,839
694,727,764,840
693,727,764,839
692,727,765,838
694,728,764,839
694,728,765,840
691,728,766,837
692,727,766,837
694,729,764,839
692,727,767,836
694,729,761,841
693,729,761,841
692,726,767,836
691,729,764,838
694,728,763,840
692,727,766,837
691,727,768,836
691,728,765,838
692,729,763,839
693,727,764,839
693,728,764,839
693,729,764,839
692,729,765,839
692,729,763,839
692,729,765,838
692,728,764,839
692,728,765,838
692,729,763,839
692,729,763,838
692,729,764,839
692,729,763,839
692,729,764,839
692,729,764,838
692,729,764,838
691,730,765,838
692,729,764,838
692,730,764,839
692,730,764,839
691,730,764,838
692,730,764,839
692,730,764,839
692,730,764,838
691,730,765,839
691,730,764,839
690,732,764,839
692,731,763,841
692,729,765,838
690,729,766,838
691,731,764,839
692,729,765,838
691,730,766,837
691,732,764,840
692,731,765,837
694,730,764,839
689,730,766,836
689,730,767,836
692,732,761,841
692,729,768,835
689,730,766,837
693,732,760,842
693,732,762,841
691,729,768,836
689,728,770,834
690,732,762,841
694,732,759,843
693,730,764,838
691,728,769,834
689,729,767,837
690,731,764,838
690,731,763,839
691,732,764,839
691,731,764,838
691,731,763,838
691,730,764,838
691,731,764,839
691,731,764,839
691,731,764,838
692,731,764,838
691,731,764,838
692,731,764,838
691,731,764,840
692,731,763,839
692,731,764,838
690,731,764,839
690,731,764,838
692,732,764,839
691,732,763,838
691,731,764,838
691,731,764,838
691,731,763,839
692,731,764,839
692,731,764,838
691,731,764,838
691,731,764,839
691,732,763,840
691,731,763,838
692,731,763,839
691,733,760,841
692,733,761,842
690,729,768,836
690,729,768,836
692,732,761,841
692,732,761,841
689,731,765,837
689,731,763,839
692,732,761,842
692,731,764,838
692,730,766,837
690,731,764,840
691,732,762,840
692,732,762,840
692,730,767,837
690,732,764,838
690,731,764,839
691,731,764,838
691,731,764,838
690,731,764,838
691,731,765,839
690,731,765,839
691,731,764,838
690,731,764,839
691,732,763,839
691,732,764,838
690,731,764,839
691,731,764,839
691,732,764,839
692,731,764,839
691,731,762,839
691,732,764,839
691,731,765,839
690,732,763,838
691,731,764,838
690,732,765,839
691,731,764,838
690,731,764,839
691,731,764,838
691,731,764,839
691,731,763,839
692,732,763,840
691,732,763,840
691,731,765,839
690,732,765,839
689,730,766,837
690,731,763,839
690,732,764,839
691,731,765,837
691,732,762,840
691,732,765,837
693,730,770,834
689,734,763,839
689,730,769,834
689,732,763,840
690,732,762,840
691,730,769,835
691,730,768,834
688,730,765,838
689,730,767,836
688,732,760,842
692,732,762,841
691,732,763,842
692,731,768,841
692,732,761,841
692,731,767,836
691,732,763,838
690,731,764,838
690,732,764,838
